,Price
2024-12-15,3359000.0000000005
2024-12-16,1050000.0
2024-12-17,1080000.0
2024-12-18,4700000.0
2024-12-19,7600000.0
2024-12-20,5500000.0
2024-12-21,8500000.0
2024-12-22,8800000.0
2024-12-23,6100000.0
2024-12-24,1380000.0
2024-12-25,1780000.0
2024-12-26,1000000.0
2024-12-27,6000000.0
2024-12-28,3500000.0
2024-12-29,4800000.0
2024-12-30,5500000.0
2024-12-31,6700000.0
