,Price
2024-01-15,7300000.0
2024-01-16,7500000.0
2024-01-17,2700000.0
2024-01-18,3800000.0
2024-01-19,8500000.0
2024-01-20,1900000.0
2024-01-21,1150000.0
2024-01-22,5700000.0
2024-01-23,4700000.0
2024-01-24,2000000.0
2024-01-25,8000000.0
2024-01-26,5000000.0
2024-01-27,7000000.0
2024-01-28,5200000.0
2024-01-29,1200000.0
2024-01-30,7200000.0
2024-01-31,5500000.0
2024-02-01,8500000.0
2024-02-02,5700000.0
2024-02-03,3900000.0
2024-02-04,5000000.0
2024-02-05,4200000.0
2024-02-06,7500000.0
2024-02-07,6650000.0
2024-02-08,2465000.0
2024-02-09,4100000.0
2024-02-10,5700000.0
2024-02-11,6800000.0
2024-02-12,6300000.0
2024-02-13,5500000.0
2024-02-14,7500000.0
2024-02-15,1200000.0
2024-02-16,4500000.0
2024-02-17,6500000.0
2024-02-18,7000000.0
2024-02-19,3200000.0
2024-02-20,4250000.0
2024-02-21,4500000.0
2024-02-22,9300000.0
2024-02-23,3000000.0
2024-02-24,2600000.0
2024-02-25,4800000.0
2024-02-26,8700000.0
2024-02-27,6000000.0
2024-02-28,1900000.0
2024-02-29,2150000.0
2024-03-01,6200000.0
2024-03-02,6000000.0
2024-03-03,5600000.0
2024-03-04,7200000.0
2024-03-05,3000000.0
2024-03-06,4700000.0
2024-03-07,1670000.0
2024-03-08,5400000.0
2024-03-09,3800000.0
2024-03-10,4500000.0
2024-03-11,8500000.0
2024-03-12,1030000.0
2024-03-13,1000000.0
2024-03-14,3850000.0
2024-03-15,8000000.0
2024-03-16,5900000.0
2024-03-17,7123000.0
2024-03-18,8500000.0
2024-03-19,4500000.0
2024-03-20,5850000.0
2024-03-21,7200000.0
2024-03-22,8900000.0
2024-03-23,5500000.0
2024-03-24,8400000.0
2024-03-25,7000000.0
2024-03-26,2400000.0
2024-03-27,5700000.0
2024-03-28,8500000.0
2024-03-29,5600000.0
2024-03-30,3500000.0
2024-03-31,5850000.0
2024-04-01,2200000.0
2024-04-02,3900000.0
2024-04-03,5500000.0
2024-04-04,4950000.0
2024-04-05,7900000.0
2024-04-06,6000000.0
2024-04-07,4500000.0
2024-04-08,2750000.0
2024-04-09,5500000.0
2024-04-10,7000000.0
2024-04-11,1270000.0
2024-04-12,5500000.0
2024-04-13,1400000.0
2024-04-14,3800000.0
2024-04-15,8600000.0
2024-04-16,5556000.0
2024-04-17,6500000.0
2024-04-18,4500000.0
2024-04-19,5450000.0
2024-04-20,1400000.0
2024-04-21,6450000.0
2024-04-22,5900000.0
2024-04-23,6400000.0
2024-04-24,9000000.0
2024-04-25,3000000.0
2024-04-26,3400000.0
2024-04-27,2100000.0
2024-04-28,7500000.0
2024-04-29,2300000.0
2024-04-30,4000000.0
2024-05-01,9300000.0
2024-05-02,9600000.0
2024-05-03,4300000.0
2024-05-04,4500000.0
2024-05-05,9500000.0
2024-05-06,5800000.0
2024-05-07,6000000.0
2024-05-08,5357000.0
2024-05-09,4200000.0
2024-05-10,9240000.0
2024-05-11,4243000.0
2024-05-12,4375000.0
2024-05-13,4900000.0
2024-05-14,1800000.0
2024-05-15,2800000.0
2024-05-16,4800000.0
2024-05-17,3000000.0
